"id","code","name","name@pl","account_type","reconcile","tag_ids"
"chart40512","405.12","Insurance benefits: SOCIAL SECURITY FUND","Ubezpieczenia świadczenia: ZFŚS","expense","False","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40599","405.99","Other insurance benefits ","Pozostałe ubezpieczenia świadczenia ","expense","False","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40601","406.01","Other: business travel","Pozostałe: podróżne służbowe","expense","False","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40603","406.03","Other: sales commissions","Pozostałe: prowizje handlowe","expense","False","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40604","406.04","Other: licenses, subscriptions, franchises","Pozostałe: licencje, subskrypcje, franszyza","expense","False","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40605","406.05","Other: representation","Pozostałe: reprezentacja","expense","False","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40699","406.99","Other: other costs","Pozostałe: inne koszty","expense","False","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart49001","490.01","Transfer of production costs","Przeniesienie kosztów produkcji","expense","False","trilab_pl_reports.RZiSPor_A_II,trilab_pl_reports.RZiSKalk_E"
"chart58001","580.01","Settlement of production","Rozliczenie produkcji","asset_current","False","trilab_pl_reports.Aktywa_B_I_2"
"chart60001","600.01","Finished goods","Wyroby gotowe","asset_current","False","trilab_pl_reports.Aktywa_B_I_3"
"chart62001","620.01","Deviations from valuation of finished goods","Odchylenia od wyceny wyrobów gotowych","asset_current","False","trilab_pl_reports.Aktywa_B_I_3"
"chart64001","640.01","Prepaid expenses","Czynne rozliczenia międzyokresowe kosztów","asset_current","True","trilab_pl_reports.Aktywa_B_IV"
"chart65001","650.01","Deferred income tax assets","Aktywa z tytułu odroczonego podatku dochodowego","asset_non_current","False","trilab_pl_reports.Aktywa_A_V_1"
"chart70101","701.01","Net income from sales of finished goods (products)","Przychody netto ze sprzedaży wyrobów gotowych (produktów)","income","False","trilab_pl_reports.RZiSPor_A_I,trilab_pl_reports.RZiSKalk_A_I"
"chart70201","702.01","Net income from sales of services","Przychody netto ze sprzedaży usług","income","False","trilab_pl_reports.RZiSPor_A_I,trilab_pl_reports.RZiSKalk_A_I"
