"id","name","applicability"
"Pasywa_B_III_3_A","Pasywa_B_III_3_A","Accounts"
"Pasywa_B_III_3_B","Pasywa_B_III_3_B","Accounts"
"Pasywa_B_III_3_C","Pasywa_B_III_3_C","Accounts"
"Pasywa_B_III_3_D_1","Pasywa_B_III_3_D_1","Accounts"
"Pasywa_B_III_3_D_2","Pasywa_B_III_3_D_2","Accounts"
"Pasywa_B_III_3_E","Pasywa_B_III_3_E","Accounts"
"Pasywa_B_III_3_F","Pasywa_B_III_3_F","Accounts"
"Pasywa_B_III_3_G","Pasywa_B_III_3_G","Accounts"
"Pasywa_B_III_3_H","Pasywa_B_III_3_H","Accounts"
"Pasywa_B_III_3_I","Pasywa_B_III_3_I","Accounts"
"Pasywa_B_III_4","Pasywa_B_III_4","Accounts"
"Pasywa_B_IV_1","Pasywa_B_IV_1","Accounts"
"Pasywa_B_IV_2_1","Pasywa_B_IV_2_1","Accounts"
"Pasywa_B_IV_2_2","Pasywa_B_IV_2_2","Accounts"
"RZiSPor_E_I","RZiSPor_E_I","Accounts"
"RZiSPor_D_I","RZiSPor_D_I","Accounts"
"RZiSPor_H_II_J","RZiSPor_H_II_J","Accounts"
"RZiSPor_H_I_J","RZiSPor_H_I_J","Accounts"
"RZiSPor_H_I","RZiSPor_H_I","Accounts"
"RZiSPor_B_I","RZiSPor_B_I","Accounts"
"RZiSPor_A_J","RZiSPor_A_J","Accounts"
"RZiSPor_G_III_J","RZiSPor_G_III_J","Accounts"
"RZiSPor_G_II_J","RZiSPor_G_II_J","Accounts"
"RZiSPor_B_IV_1","RZiSPor_B_IV_1","Accounts"
"RZiSPor_G_I_B_1","RZiSPor_G_I_B_1","Accounts"
"RZiSPor_G_I_A_1","RZiSPor_G_I_A_1","Accounts"
"RZiSPor_B_VI_1","RZiSPor_B_VI_1","Accounts"
"RZiSPor_G_I_A","RZiSPor_G_I_A","Accounts"
"RZiSPor_A_I","RZiSPor_A_I","Accounts"
"RZiSPor_B_II","RZiSPor_B_II","Accounts"
"RZiSPor_D_II","RZiSPor_D_II","Accounts"
